id,name,url,image_url,phone,rating,review_count,address,latitude,longitude,price,categories,transactions,business_hours,is_closed
f-m7-hyFzkf0HSEeQ2s-9A,Fog Harbor Fish House,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media2.fl.yelpcdn.com/bphoto/by8Hh63BLPv_HUqRUdsp_w/o.jpg,+14159692010,4.4,11027,"39 Pier, San Francisco, CA 94133",37.80867300000001,-122.409821,$$,"Seafood, Wine Bars, Cocktail Bars",restaurant_reservation,"[{""open"": [{""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
Xg-FyjVKAN70LO4u4Z1ozg,Hog Island Oyster,https://www.yelp.com/biz/hog-island-oyster-san-francisco-2?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media4.fl.yelpcdn.com/bphoto/Hx-2wk2qjf5pOJLewaCoUQ/o.jpg,+14153917117,4.4,7312,"1 Ferry Bldg, Ste 11, San Francisco, CA 94111",37.7947758,-122.3921851,$$,"Seafood, Seafood Markets, Cocktail Bars",pickup,"[{""open"": [{""is_overnight"": false, ""start"": ""1130"", ""end"": ""2000"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2000"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2000"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2000"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2000"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2000"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2000"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
WavvLdfdP6g8aZTtbBQHTw,Gary Danko,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media1.fl.yelpcdn.com/bphoto/Rqsfo-yDIBrYC6QHSlcw5A/o.jpg,+14157492060,4.5,5994,"800 N Point St, San Francisco, CA 94109",37.805823482811675,-122.42060564460564,$$$$,"New American, French, Wine Bars",pickup,"[{""open"": [{""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
oT08T3Vpn1I7jDmrBBRMTw,House of Prime Rib,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,+14158854605,4.2,9407,"1906 Van Ness Ave, San Francisco, CA 94109",37.79338,-122.4225,$$$,"American, Steakhouses, Wine Bars",pickup,"[{""open"": [{""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1600"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1600"", ""end"": ""2200"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
ttarnopezxmp2ROB1N2PaA,Nopa,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media3.fl.yelpcdn.com/bphoto/QA8Cvsvbx4Pi0e64OTDrZQ/o.jpg,+14158648643,4.2,5579,"560 Divisadero St, San Francisco, CA 94117",37.77502915705348,-122.43761001966246,$$$,"New American, Desserts, Cocktail Bars",pickup,"[{""open"": [{""is_overnight"": false, ""start"": ""1730"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1730"", ""end"": ""2200"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1730"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1730"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1730"", ""end"": ""2300"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1730"", ""end"": ""2300"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2130"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media4.fl.yelpcdn.com/bphoto/ouK2VmW0SrI70jsJpTxJhw/o.jpg,+14158729786,4.5,5306,"1581 Webster St, Ste 235, San Francisco, CA 94115",37.78522,-122.43157,$$,Ramen,"pickup, delivery","[{""open"": [{""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1100"", ""end"": ""2200"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
8dUaybEPHsZMgr1iKgqgMQ,Sotto Mare,https://www.yelp.com/biz/sotto-mare-san-francisco-4?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media3.fl.yelpcdn.com/bphoto/o3hIcGLMxV_5ynxEjGWGrw/o.jpg,+14153983181,4.3,5484,"552 Green St, San Francisco, CA 94133",37.79979,-122.40834,$$,"Seafood, Italian, Bars","pickup, delivery","[{""open"": [{""is_overnight"": false, ""start"": ""1130"", ""end"": ""2100"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2100"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2100"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2100"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""2100"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
PsY5DMHxa5iNX_nX0T-qPA,Kokkari Estiatorio,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media2.fl.yelpcdn.com/bphoto/FTQfPJubJEtYeyHqwAsVKw/o.jpg,+14159810983,4.4,5327,"200 Jackson St, San Francisco, CA 94111",37.796996,-122.399661,$$$,"Greek, Mediterranean","pickup, delivery","[{""open"": [{""is_overnight"": false, ""start"": ""1130"", ""end"": ""1430"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""1430"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""1430"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""1430"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1130"", ""end"": ""1430"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1700"", ""end"": ""2200"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
mSMZJj2pFvttWLpcDmgrEA,Tony's Pizza Napoletana,https://www.yelp.com/biz/tonys-pizza-napoletana-san-francisco?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media4.fl.yelpcdn.com/bphoto/j41n7dUGoDNvGRNuYbrnIQ/o.jpg,+14158359888,4.2,7444,"1570 Stockton St, San Francisco, CA 94133",37.8003893855776,-122.40903343231504,$$,"Pizza, Italian, Cocktail Bars","pickup, restaurant_reservation, delivery","[{""open"": [{""is_overnight"": false, ""start"": ""1200"", ""end"": ""2130"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2130"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2200"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2200"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2300"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2300"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2230"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
jqEpBbf_qNfWuz_GBkwCjw,Scoma's Restaurant,https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?adjust_creative=n70A43OiB44OyQAzeWieZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n70A43OiB44OyQAzeWieZQ,https://s3-media2.fl.yelpcdn.com/bphoto/YRg4ICRgMgVN89LH4L6Rww/o.jpg,+14157714383,4.1,4712,"1965 Al Scoma Way, San Francisco, CA 94133",37.80894309727483,-122.41843625625316,$$$,"Seafood, Bars","pickup, delivery","[{""open"": [{""is_overnight"": false, ""start"": ""1200"", ""end"": ""2100"", ""day"": 0}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2100"", ""day"": 1}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2100"", ""day"": 2}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2130"", ""day"": 3}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2130"", ""day"": 4}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2130"", ""day"": 5}, {""is_overnight"": false, ""start"": ""1200"", ""end"": ""2100"", ""day"": 6}], ""hours_type"": ""REGULAR"", ""is_open_now"": true}]",False
